summary,date,description
New York: New Year's Day (Federal Holiday),2024-01-01,
New York: Martin Luther King Jr. Day (Federal Holiday),2024-01-15,3rd Monday in January
New York: Lincoln's Birthday (Government Holiday),2024-02-12,"Connecticut, Illinois, Missouri, New York."
New York: Washington's Birthday (Observed) (Federal Holiday),2024-02-19,3rd Monday in February
New York: Easter Sunday (Not A Public Holiday),2024-03-31,
New York: Mother's Day (Not A Public Holiday),2024-05-12,2nd Sunday in May. Not a public holiday
New York: Memorial Day (Federal Holiday),2024-05-27,Last Monday in May
New York: Father's Day (Not A Public Holiday),2024-06-16,3rd Sunday in June. Not a public holiday
New York: Juneteenth (Federal Holiday),2024-06-19,Emancipation Day
New York: Independence Day (Federal Holiday),2024-07-04,
New York: Labor Day (Federal Holiday),2024-09-02,1st Monday in September
New York: Columbus Day (Federal Holiday),2024-10-14,2nd Monday in October
New York: Election Day (Government Holiday),2024-11-05,Some states
New York: Veterans Day (Federal Holiday),2024-11-11,
New York: Thanksgiving (Federal Holiday),2024-11-28,4th Thursday in November
New York: Christmas Day (Federal Holiday),2024-12-25,
New York: New Year's Day,2025-01-01,"New Year's Day is a public holiday in all countries that observe the Gregorian calendar, with the exception of Israel



Information provided by www.officeholidays.com"
New York: Day of Mourning (Government Holiday),2025-01-09,"Federal government agencies will close for the late former President Jimmy Carter's funeral.

Federal govt. employees

Information provided by www.officeholidays.com"
New York: Martin Luther King Jr. Day,2025-01-20,"Each year on the third Monday of January, America honors the birth, life and dream of Dr. Martin Luther King, Jr.

3rd Monday in January

Information provided by www.officeholidays.com"
New York: Lincoln's Birthday (Government Holiday),2025-02-12,"Abraham Lincoln, was born on February 12th 1809 in LaRue county, Kentucky. He became the 16th president of the United States in 1860

Connecticut, Illinois, Missouri, New York.

Information provided by www.officeholidays.com"
New York: Washington's Birthday (Observed) (Regional Holiday),2025-02-17,"The original version of the holiday was in commemoration of George Washington's birthday.

3rd Monday in February

Information provided by www.officeholidays.com"
New York: Memorial Day,2025-05-26,"Memorial Day is a day of remembrance for those who have died in military service for the United States

Last Monday in May

Information provided by www.officeholidays.com"
New York: Juneteenth (Regional Holiday),2025-06-19,"Juneteenth is a federal holiday and state holiday in several states. It commemorates the date in 1865 when news of the emancipation of African American slaves reached Galveston

Emancipation Day

Information provided by www.officeholidays.com"
New York: Independence Day,2025-07-04,"On July 4th 1776 the United States of America proclaimed its independence from England



Information provided by www.officeholidays.com"
New York: Labor Day,2025-09-01,"This holiday is most commonly associated with a commemoration of the achievements of the labor movement

1st Monday in September

Information provided by www.officeholidays.com"
New York: Columbus Day (Regional Holiday),2025-10-13,"This national holiday commemorates the exact date when Christopher Columbus first set foot in the Americas

2nd Monday in October

Information provided by www.officeholidays.com"
New York: Election Day (Government Holiday),2025-11-04,"Election Day in the USA is the day set by law for the general elections of public officials

several states

Information provided by www.officeholidays.com"
New York: Veterans Day (Regional Holiday),2025-11-11,"Observed on November 11th to recall the end of World War I on that date in 1918



Information provided by www.officeholidays.com"
New York: Thanksgiving,2025-11-27,"Fourth Thursday in November. Traditionally, this holiday celebrates the giving of thanks for the autumn harvest

4th Thursday in November

Information provided by www.officeholidays.com"
New York: Christmas Day,2025-12-25,"Christmas celebrates the Nativity of Jesus which according to tradition took place on December 25th 1 BC



Information provided by www.officeholidays.com"
New York: New Year's Day,2026-01-01,"New Year's Day is a public holiday in all countries that observe the Gregorian calendar, with the exception of Israel



Information provided by www.officeholidays.com"
New York: Martin Luther King Jr. Day,2026-01-19,"Each year on the third Monday of January, America honors the birth, life and dream of Dr. Martin Luther King, Jr.

3rd Monday in January

Information provided by www.officeholidays.com"
New York: Lincoln's Birthday (Government Holiday),2026-02-12,"Abraham Lincoln, was born on February 12th 1809 in LaRue county, Kentucky. He became the 16th president of the United States in 1860

Connecticut, Illinois, Missouri, New York.

Information provided by www.officeholidays.com"
New York: Washington's Birthday (Observed) (Regional Holiday),2026-02-16,"The original version of the holiday was in commemoration of George Washington's birthday.

3rd Monday in February

Information provided by www.officeholidays.com"
New York: Memorial Day,2026-05-25,"Memorial Day is a day of remembrance for those who have died in military service for the United States

Last Monday in May

Information provided by www.officeholidays.com"
New York: Juneteenth (Regional Holiday),2026-06-19,"Juneteenth is a federal holiday and state holiday in several states. It commemorates the date in 1865 when news of the emancipation of African American slaves reached Galveston

Emancipation Day

Information provided by www.officeholidays.com"
New York: Independence Day (in lieu),2026-07-03,"On July 4th 1776 the United States of America proclaimed its independence from England



Information provided by www.officeholidays.com"
New York: Independence Day,2026-07-04,"On July 4th 1776 the United States of America proclaimed its independence from England



Information provided by www.officeholidays.com"
New York: Labor Day,2026-09-07,"This holiday is most commonly associated with a commemoration of the achievements of the labor movement

1st Monday in September

Information provided by www.officeholidays.com"
New York: Columbus Day (Regional Holiday),2026-10-12,"This national holiday commemorates the exact date when Christopher Columbus first set foot in the Americas

2nd Monday in October

Information provided by www.officeholidays.com"
New York: Election Day (Government Holiday),2026-11-03,"Election Day in the USA is the day set by law for the general elections of public officials

Six states

Information provided by www.officeholidays.com"
New York: Veterans Day (Regional Holiday),2026-11-11,"Observed on November 11th to recall the end of World War I on that date in 1918



Information provided by www.officeholidays.com"
New York: Thanksgiving,2026-11-26,"Fourth Thursday in November. Traditionally, this holiday celebrates the giving of thanks for the autumn harvest

4th Thursday in November

Information provided by www.officeholidays.com"
New York: Christmas Day,2026-12-25,"Christmas celebrates the Nativity of Jesus which according to tradition took place on December 25th 1 BC



Information provided by www.officeholidays.com"
